side,ip,money,logintimes,name,重複推噓次數,post,school,nickname,id
good,39.9.148.124,,3531,"['OmegaWind', '換季了']",1,2525,False,換季了,OmegaWind
good,36.232.33.46,,4686,"['davidbright', '^ ^']",1,766,False,^ ^,davidbright
good,42.72.165.38,,876,"['uruzu007', '放蕩的約翰']",1,3,False,放蕩的約翰,uruzu007
good,175.182.112.50,,1440,"['Alicia00', 'Alicia']",1,23,False,Alicia,Alicia00
good,68.234.182.196,,2623,"['gn02561792', 'WU']",1,84,False,WU,gn02561792
good,42.73.162.146,,3665,"['little1011', 'Q毛']",1,384,False,Q毛,little1011
good,218.166.93.199,,546,"['k6109054', 'Sowhyz']",1,2,False,Sowhyz,k6109054
good,218.164.7.145,,997,"['wp972160', '新手上路']",1,50,False,新手上路,wp972160
good,223.141.13.132,,2084,"['devil66', 'Fan']",1,4,False,Fan,devil66
good,117.19.34.88,,441,"['KizunaHoshin', '必青']",3,0,False,必青,KizunaHoshin
good,140.112.206.168,,1495,"['fleao', 'Squirrel']",1,98,國立臺灣大學,Squirrel,fleao
good,140.112.248.176,,2367,"['hg7318480', '夢漫廷']",1,213,國立臺灣大學,夢漫廷,hg7318480
good,1.160.153.205,,2290,"['naminono', '奈米諾諾']",1,394,False,奈米諾諾,naminono
good,180.206.3.198,,2785,"['r0809054054', '大蒂']",1,24,False,大蒂,r0809054054
good,111.252.239.17,,1806,"['Ycosmos', 'cosmos']",1,161,False,cosmos,Ycosmos
good,223.139.186.17,,4021,"['shyuwu', 'El Cid']",1,920,False,El Cid,shyuwu
good,223.141.166.253,,2374,"['rexoui', 'TastyPotato']",1,0,False,TastyPotato,rexoui
good,118.21.8.73,,231,"['livlin', '衣服零']",4,97,False,衣服零,livlin
good,122.118.7.227,,3160,"['Asster', '快被風乾的橘子']",1,6,False,快被風乾的橘子,Asster
good,49.214.241.141,,1644,"['waythecsir', '睡覺睡到地板上']",1,69,False,睡覺睡到地板上,waythecsir
good,36.230.35.208,,1124,"['suifong', '小火柴']",1,3,False,小火柴,suifong
good,42.66.46.196,,698,"['Dkuei', '貴']",1,13,False,貴,Dkuei
good,42.73.150.4,,3745,"['simdavid', '涼小麵']",2,258,False,涼小麵,simdavid
good,146.96.252.3,,2404,"['redsa12', '哈吉米']",2,186,False,哈吉米,redsa12
good,182.234.134.173,,1011,"['aliaoer', '好想好想飛']",8,15,False,好想好想飛,aliaoer
good,111.240.213.43,,2867,"['largea', '大Ａ']",1,169,False,大Ａ,largea
good,111.83.168.74,,672,"['ask865134', '德州家康']",1,50,False,德州家康,ask865134
good,114.34.119.18,,3250,"['salvador1988', 'Mr.Owl']",10,67,False,Mr.Owl,salvador1988
good,39.8.237.187,,1183,"['g1898001', '布雷克']",1,5,False,布雷克,g1898001
good,59.115.190.152,,4952,"['eipduolc', '松尾健太']",1,1467,False,松尾健太,eipduolc
good,114.47.168.136,,3456,"['shadowdio', '']",1,57,False,,shadowdio
good,37.160.183.189,,1382,"['ringo10562', '野人王']",1,6,False,野人王,ringo10562
good,140.114.123.147,,1085,"['JingYun', '我只有八歲']",1,3,國立清華大學,我只有八歲,JingYun
good,61.70.250.120,,1720,"['mimihi', '耳朵與火']",1,26,False,耳朵與火,mimihi
good,1.160.62.253,,2876,"['sasaki0327', 'SASAKI']",1,33,False,SASAKI,sasaki0327
good,117.19.103.216,,473,"['cftyujmnbvgh', 'cftyujmnbvgh']",2,2,False,cftyujmnbvgh,cftyujmnbvgh
good,223.137.138.132,,391,"['boocs', 'KD']",1,1,False,KD,boocs
good,49.217.216.131,,192,"['elacon', '意外的閒暇...']",1,3,False,意外的閒暇...,elacon
good,123.194.167.186,,371,"['keybee', '鑰匙蜜蜂']",1,1,False,鑰匙蜜蜂,keybee
good,118.169.170.38,,301,"['ltsart0515', '阿毛仔']",1,0,False,阿毛仔,ltsart0515
good,140.114.217.18,,380,"['Evlstn', 'Evlstn']",1,1,國立清華大學,Evlstn,Evlstn
good,140.112.4.206,,1261,"['jamielo', 'Excelsior']",1,100,國立臺灣大學,Excelsior,jamielo
good,180.217.204.106,,1121,"['moonstarxs', '']",1,88,False,,moonstarxs
good,114.41.57.182,,3282,"['sandpool', 'sadpool']",1,15,False,sadpool,sandpool
good,223.143.31.93,,4056,"['sillycloud', '若且為若-犀利雲']",2,71,False,若且為若-犀利雲,sillycloud
good,114.41.57.231,,996,"['ro77289', 'ro77289']",1,1,False,ro77289,ro77289
good,72.57.172.84,,940,"['taijap0811', '風馬牛']",1,170,False,風馬牛,taijap0811
good,223.140.104.252,,1786,"['Jassss', 'Jass']",3,77,False,Jass,Jassss
good,36.233.28.194,,375,"['Gosen', 'ˋˇˊ']",1,18,False,ˋˇˊ,Gosen
good,124.11.69.92,,2985,"['youngzi', 'youngzi']",1,72,False,youngzi,youngzi
good,114.45.180.85,,5992,"['LCamel', 'LCamel']",1,175,False,LCamel,LCamel
good,220.135.246.183,,4298,"['jokker', '微雨從東來']",1,421,False,微雨從東來,jokker
good,1.170.197.156,,6726,"['FlashMan', '央行是現代丁添廖']",1,495,False,央行是現代丁添廖,FlashMan
good,110.28.21.144,,3113,"['v71082', '澈']",1,274,False,澈,v71082
good,114.36.152.35,,2170,"['abellea85209', '阿比利亞']",4,108,False,阿比利亞,abellea85209
good,42.72.182.29,,2118,"['ww11ww22', '那年的17歲']",1,1,False,那年的17歲,ww11ww22
good,223.139.203.233,,3473,"['BMHSEA', 'Ciao']",1,207,False,Ciao,BMHSEA
good,61.230.142.163,,2533,"['geep', '打西']",1,19,False,打西,geep
good,118.165.67.95,,3720,"['genniehuang', 'Channie']",1,115,False,Channie,genniehuang
good,223.136.251.118,,3629,"['lolicone', '( ⑸ )  ']",1,150,False,( ⑸ )  ,lolicone
good,220.135.71.16,,702,"['apple30341', '玩具']",1,15,False,玩具,apple30341
good,223.137.174.251,,891,"['snyk', 'BMI 48']",1,413,False,BMI 48,snyk
good,1.34.146.59,,4301,"['ddar', '白馬~~馬力夯.....@@']",1,1488,False,白馬~~馬力夯.....@@,ddar
good,114.39.158.99,,980,"['yu800910', '掃地娘']",3,18,False,掃地娘,yu800910
good,223.140.139.83,,688,"['leanniii', 'Leanne']",1,0,False,Leanne,leanniii
good,114.38.139.64,,4378,"['arcc', 'arc']",1,13,False,arc,arcc
good,36.239.133.134,,1102,"['sanachen', 'sana']",39,47,False,sana,sanachen
good,36.234.89.183,,633,"['oreo2527', 'Oreo']",1,0,False,Oreo,oreo2527
good,223.139.239.106,,1970,"['coldeath', '海賊王']",1,102,False,海賊王,coldeath
good,223.139.250.177,,4004,"['saluy', '安粉心靈極度脆弱']",5,77,False,安粉心靈極度脆弱,saluy
good,49.216.147.181,,1802,"['everfree', '不犀利人妻']",1,33,False,不犀利人妻,everfree
good,111.184.183.232,,3522,"['manabi', '瑪娜比']",1,173,False,瑪娜比,manabi
good,110.30.134.194,,3107,"['bewritten', '被寫']",1,470,False,被寫,bewritten
good,42.72.86.207,,236,"['ur8ru8', 'ur8ru8']",1,0,False,ur8ru8,ur8ru8
good,123.194.225.66,,3202,"['mao0104', '花']",1,74,False,花,mao0104
good,1.161.22.105,,598,"['ccc19650', '5yanci']",1,0,False,5yanci,ccc19650
good,27.105.221.209,,554,"['J0825N', '呱呱']",1,75,False,呱呱,J0825N
good,42.78.58.106,,6104,"['Cathay', '前意識潰堤']",1,889,False,前意識潰堤,Cathay
good,111.184.42.159,,2860,"['willy333', '冶琦']",1,67,False,冶琦,willy333
good,175.181.187.238,,479,"['libido', '立']",1,2,False,立,libido
good,101.8.193.121,,1620,"['plains', '萬年潛水魚']",1,25,False,萬年潛水魚,plains
good,36.224.9.119,,1075,"['sasuka9985', 'CoKEsan']",1,56,False,CoKEsan,sasuka9985
good,223.140.118.157,,3855,"['huangshinwen', '.....']",1,286,False,.....,huangshinwen
good,114.32.136.193,,957,"['wina401', 'DaiDai']",3,2,False,DaiDai,wina401
good,106.105.29.143,,1078,"['raikataiwan', 'raika']",1,46,False,raika,raikataiwan
good,36.224.173.192,,4282,"['tigerzz3', 'CC']",4,56,False,CC,tigerzz3
good,114.45.79.70,,728,"['thrry0524', '騎士']",1,10,False,騎士,thrry0524
